date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:32	291/291	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Oct%202022%2008:33:31%20GMT	https://aussccmcmg.austin.utexas.edu/robots.txt		(from )
15:33:32	67125/67125	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Oct%202022%2008:33:31%20GMT	https://aussccmcmg.austin.utexas.edu/	C:/Users/User/Desktop/spbu%202/aussccmcmg.austin.utexas.edu/index.html	(from )
15:33:34	202720/202720	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Oct%202022%2006:03:31%20GMT	https://i.ibb.co/qgPt9fg/rokettt.jpg	C:/Users/User/Desktop/spbu%202/i.ibb.co/qgPt9fg/rokettt.jpg	(from https://aussccmcmg.austin.utexas.edu/)
15:33:35	3962/3962	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Sep%202022%2007:46:56%20GMT	https://i.ibb.co/vVMvs91/favicon.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/vVMvs91/favicon.png	(from https://aussccmcmg.austin.utexas.edu/)
15:33:35	212825/212825	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202022%2008:06:43%20GMT	https://i.ibb.co/6Zq30rb/favicon-3.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/6Zq30rb/favicon-3.png	(from https://aussccmcmg.austin.utexas.edu/)
15:33:36	38762/38762	---M--	200	added ('OK')	text/javascript	etag:%22b0cf52626f0dc71f%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/Users/User/Desktop/spbu%202/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://aussccmcmg.austin.utexas.edu/)
15:33:36	282559/282559	---M--	200	added ('OK')	text/javascript	etag:%22b0a9bc3cc165f0cd%22	https://cdn.ampproject.org/v0.js	C:/Users/User/Desktop/spbu%202/cdn.ampproject.org/v0.js	(from https://aussccmcmg.austin.utexas.edu/)
15:33:36	9345/9345	---M--	200	added ('OK')	text/javascript	etag:%22be7db2867e2271f7%22	https://cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	C:/Users/User/Desktop/spbu%202/cdn.ampproject.org/v0/amp-install-serviceworker-0.1.js	(from https://aussccmcmg.austin.utexas.edu/)
15:33:37	36406/36406	---M--	200	added ('OK')	text/javascript	etag:%22495d4dab930f7a99%22	https://cdn.ampproject.org/v0/amp-youtube-0.1.js	C:/Users/User/Desktop/spbu%202/cdn.ampproject.org/v0/amp-youtube-0.1.js	(from https://aussccmcmg.austin.utexas.edu/)
15:33:38	17669/17669	---M--	200	added ('OK')	text/javascript	etag:%2269fb31f6d65e8437%22	https://cdn.ampproject.org/v0/amp-accordion-0.1.js	C:/Users/User/Desktop/spbu%202/cdn.ampproject.org/v0/amp-accordion-0.1.js	(from https://aussccmcmg.austin.utexas.edu/)
15:33:38	27765/27765	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Oct%202022%2005:59:49%20GMT	https://i.ibb.co/ZL3hnSp/633ff224a3cdf-Untitled-1-min.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/ZL3hnSp/633ff224a3cdf-Untitled-1-min.png	(from https://aussccmcmg.austin.utexas.edu/)
15:33:39	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Oct%202022%2008:33:38%20GMT	https://i.postimg.cc/g06cM90C/GIF-Jackpot-Aq2n-Xng-Z2eur6q-Xz.gif	C:/Users/User/Desktop/spbu%202/i.postimg.cc/g06cM90C/GIF-Jackpot-Aq2n-Xng-Z2eur6q-Xz.9.delayed	(from https://aussccmcmg.austin.utexas.edu/)
15:33:40	44324/44324	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Apr%202022%2017:26:23%20GMT	https://i.ibb.co/Lrd30Nk/bonuss.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/Lrd30Nk/bonuss.png	(from https://aussccmcmg.austin.utexas.edu/)
15:33:40	2870/2870	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Apr%202022%2018:21:54%20GMT	https://i.ibb.co/hsGN8y3/images.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/hsGN8y3/images.png	(from https://aussccmcmg.austin.utexas.edu/)
15:33:40	16025/16025	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Apr%202022%2017:30:00%20GMT	https://i.ibb.co/VqMPr3r/whatsapp.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/VqMPr3r/whatsapp.png	(from https://aussccmcmg.austin.utexas.edu/)
15:33:40	14558/14558	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Apr%202022%2017:30:25%20GMT	https://i.ibb.co/6J9xGm7/live-chat.png	C:/Users/User/Desktop/spbu%202/i.ibb.co/6J9xGm7/live-chat.png	(from https://aussccmcmg.austin.utexas.edu/)
